payroll_id,employee_id,month,base_salary,bonus_amount,overtime_hours,overtime_pay,late_penalty,unpaid_leave_deduction,total_deductions,total_salary
PAY-000053,EMP-0005,2025-08,8000,0.0,6.56,447.27,72.73,290.91,363.64,8083.63
PAY-000054,EMP-0005,2025-09,8000,0.0,6.56,447.27,72.73,290.91,363.64,8083.63
PAY-000055,EMP-0005,2025-10,8000,0.0,6.56,447.27,72.73,290.91,363.64,8083.63
PAY-000056,EMP-0005,2025-11,8000,0.0,6.56,447.27,72.73,290.91,363.64,8083.63
PAY-000057,EMP-0005,2025-12,8000,0.0,6.56,447.27,72.73,290.91,363.64,8083.63
PAY-000058,EMP-0005,2026-01,8000,0.0,6.56,447.27,72.73,290.91,363.64,8083.63
PAY-000059,EMP-0006,2024-09,11200,0.0,6.26,597.55,37.12,933.33,970.45,10827.1
PAY-000060,EMP-0006,2024-10,11200,0.0,6.26,597.55,37.12,933.33,970.45,10827.1
PAY-000061,EMP-0006,2024-11,11200,0.0,6.26,597.55,37.12,933.33,970.45,10827.1
PAY-000062,EMP-0006,2024-12,11200,0.0,6.26,597.55,37.12,933.33,970.45,10827.1
PAY-000063,EMP-0006,2025-01,11200,0.0,6.26,597.55,37.12,933.33,970.45,10827.1
PAY-000064,EMP-0006,2025-02,11200,0.0,6.26,597.55,37.12,933.33,970.45,10827.1
PAY-000065,EMP-0006,2025-03,11200,0.0,6.26,597.55,37.12,933.33,970.45,10827.1
PAY-000066,EMP-0006,2025-04,11200,0.0,6.26,597.55,37.12,933.33,970.45,10827.1
PAY-000067,EMP-0007,2024-11,8600,0.0,8.7,637.67,130.3,651.52,781.82,8455.85
PAY-000068,EMP-0007,2024-12,8600,0.0,8.7,637.67,130.3,651.52,781.82,8455.85
PAY-000069,EMP-0007,2025-01,8600,0.0,8.7,637.67,130.3,651.52,781.82,8455.85
PAY-000070,EMP-0007,2025-02,8600,0.0,8.7,637.67,130.3,651.52,781.82,8455.85
PAY-000071,EMP-0007,2025-03,8600,0.0,8.7,637.67,130.3,651.52,781.82,8455.85
PAY-000072,EMP-0008,2024-07,13500,0.0,53.27,6129.08,319.6,818.18,1137.78,18491.3
PAY-000073,EMP-0008,2024-08,13500,0.0,53.27,6129.08,319.6,818.18,1137.78,18491.3
PAY-000074,EMP-0008,2024-09,13500,0.0,53.27,6129.08,319.6,818.18,1137.78,18491.3
PAY-000075,EMP-0008,2024-10,13500,0.0,53.27,6129.08,319.6,818.18,1137.78,18491.3
PAY-000076,EMP-0009,2025-01,9900,0.0,5.78,487.69,99.72,1063.64,1163.36,9224.33
PAY-000077,EMP-0009,2025-02,9900,0.0,5.78,487.69,99.72,1063.64,1163.36,9224.33
PAY-000078,EMP-0009,2025-03,9900,0.0,5.78,487.69,99.72,1063.64,1163.36,9224.33
PAY-000079,EMP-0009,2025-04,9900,0.0,5.78,487.69,99.72,1063.64,1163.36,9224.33
PAY-000080,EMP-0009,2025-05,9900,0.0,5.78,487.69,99.72,1063.64,1163.36,9224.33
PAY-000081,EMP-0009,2025-06,9900,0.0,5.78,487.69,99.72,1063.64,1163.36,9224.33
PAY-000082,EMP-0009,2025-07,9900,0.0,5.78,487.69,99.72,1063.64,1163.36,9224.33
PAY-000083,EMP-0009,2025-08,9900,0.0,5.78,487.69,99.72,1063.64,1163.36,9224.33
PAY-000084,EMP-0009,2025-09,9900,0.0,5.78,487.69,99.72,1063.64,1163.36,9224.33
PAY-000085,EMP-0009,2025-10,9900,0.0,5.78,487.69,99.72,1063.64,1163.36,9224.33
PAY-000086,EMP-0009,2025-11,9900,0.0,5.78,487.69,99.72,1063.64,1163.36,9224.33
PAY-000087,EMP-0009,2025-12,9900,0.0,5.78,487.69,99.72,1063.64,1163.36,9224.33
PAY-000088,EMP-0009,2026-01,9900,0.0,5.78,487.69,99.72,1063.64,1163.36,9224.33
PAY-000089,EMP-0010,2024-03,12400,0.0,8.2,866.59,24.66,789.09,813.75,12452.84
PAY-000090,EMP-0010,2024-04,12400,0.0,8.2,866.59,24.66,789.09,813.75,12452.84
PAY-000091,EMP-0010,2024-05,12400,0.0,8.2,866.59,24.66,789.09,813.75,12452.84
PAY-000092,EMP-0010,2024-06,12400,0.0,8.2,866.59,24.66,789.09,813.75,12452.84
PAY-000093,EMP-0010,2024-07,12400,0.0,8.2,866.59,24.66,789.09,813.75,12452.84
PAY-000094,EMP-0010,2024-08,12400,0.0,8.2,866.59,24.66,789.09,813.75,12452.84
PAY-000095,EMP-0010,2024-09,12400,0.0,8.2,866.59,24.66,789.09,813.75,12452.84
PAY-000096,EMP-0010,2024-10,12400,0.0,8.2,866.59,24.66,789.09,813.75,12452.84
PAY-000097,EMP-0010,2024-11,12400,0.0,8.2,866.59,24.66,789.09,813.75,12452.84
PAY-000098,EMP-0010,2024-12,12400,0.0,8.2,866.59,24.66,789.09,813.75,12452.84
PAY-000099,EMP-0010,2025-01,12400,0.0,8.2,866.59,24.66,789.09,813.75,12452.84
PAY-000100,EMP-0010,2025-02,12400,0.0,8.2,866.59,24.66,789.09,813.75,12452.84
PAY-000101,EMP-0011,2025-05,20400,0.0,6.41,1114.47,165.58,1722.08,1887.66,19626.81
PAY-000102,EMP-0011,2025-06,20400,0.0,6.41,1114.47,165.58,1722.08,1887.66,19626.81
PAY-000103,EMP-0011,2025-07,20400,0.0,6.41,1114.47,165.58,1722.08,1887.66,19626.81
PAY-000104,EMP-0011,2025-08,20400,0.0,6.41,1114.47,165.58,1722.08,1887.66,19626.81
PAY-000105,EMP-0011,2025-09,20400,0.0,6.41,1114.47,165.58,1722.08,1887.66,19626.81
PAY-000106,EMP-0011,2025-10,20400,0.0,6.41,1114.47,165.58,1722.08,1887.66,19626.81
PAY-000107,EMP-0011,2025-11,20400,0.0,6.41,1114.47,165.58,1722.08,1887.66,19626.81
PAY-000108,EMP-0011,2025-12,20400,0.0,6.41,1114.47,165.58,1722.08,1887.66,19626.81
PAY-000109,EMP-0011,2026-01,20400,0.0,6.41,1114.47,165.58,1722.08,1887.66,19626.81
PAY-000110,EMP-0012,2025-05,6500,0.0,51.43,2849.11,18.47,548.7,567.17,8781.94
PAY-000111,EMP-0012,2025-06,6500,0.0,51.43,2849.11,18.47,548.7,567.17,8781.94
PAY-000112,EMP-0012,2025-07,6500,0.0,51.43,2849.11,18.47,548.7,567.17,8781.94
PAY-000113,EMP-0012,2025-08,6500,0.0,51.43,2849.11,18.47,548.7,567.17,8781.94
PAY-000114,EMP-0012,2025-09,6500,0.0,51.43,2849.11,18.47,548.7,567.17,8781.94
PAY-000115,EMP-0012,2025-10,6500,0.0,51.43,2849.11,18.47,548.7,567.17,8781.94
PAY-000116,EMP-0012,2025-11,6500,0.0,51.43,2849.11,18.47,548.7,567.17,8781.94
PAY-000117,EMP-0012,2025-12,6500,0.0,51.43,2849.11,18.47,548.7,567.17,8781.94
PAY-000118,EMP-0012,2026-01,6500,0.0,51.43,2849.11,18.47,548.7,567.17,8781.94
PAY-000119,EMP-0013,2023-12,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000120,EMP-0013,2024-01,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000121,EMP-0013,2024-02,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000122,EMP-0013,2024-03,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000123,EMP-0013,2024-04,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000124,EMP-0013,2024-05,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000125,EMP-0013,2024-06,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000126,EMP-0013,2024-07,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000127,EMP-0013,2024-08,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000128,EMP-0013,2024-09,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000129,EMP-0013,2024-10,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000130,EMP-0013,2024-11,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000131,EMP-0013,2024-12,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000132,EMP-0013,2025-01,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000133,EMP-0013,2025-02,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000134,EMP-0013,2025-03,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000135,EMP-0013,2025-04,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000136,EMP-0013,2025-05,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000137,EMP-0013,2025-06,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000138,EMP-0013,2025-07,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000139,EMP-0013,2025-08,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000140,EMP-0013,2025-09,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000141,EMP-0013,2025-10,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000142,EMP-0013,2025-11,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000143,EMP-0013,2025-12,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000144,EMP-0013,2026-01,18900,0.0,55.79,8986.63,85.01,715.91,800.92,27085.71
PAY-000145,EMP-0014,2025-05,8600,0.0,7.45,546.05,18.32,537.5,555.82,8590.23
PAY-000146,EMP-0014,2025-06,8600,0.0,7.45,546.05,18.32,537.5,555.82,8590.23
PAY-000147,EMP-0014,2025-07,8600,0.0,7.45,546.05,18.32,537.5,555.82,8590.23
PAY-000148,EMP-0014,2025-08,8600,0.0,7.45,546.05,18.32,537.5,555.82,8590.23
PAY-000149,EMP-0014,2025-09,8600,0.0,7.45,546.05,18.32,537.5,555.82,8590.23
PAY-000150,EMP-0014,2025-10,8600,0.0,7.45,546.05,18.32,537.5,555.82,8590.23
PAY-000151,EMP-0014,2025-11,8600,0.0,7.45,546.05,18.32,537.5,555.82,8590.23
PAY-000152,EMP-0014,2025-12,8600,0.0,7.45,546.05,18.32,537.5,555.82,8590.23
PAY-000153,EMP-0014,2026-01,8600,0.0,7.45,546.05,18.32,537.5,555.82,8590.23
PAY-000154,EMP-0015,2025-03,12700,0.0,53.55,5796.18,100.22,705.56,805.78,17690.4
PAY-000155,EMP-0015,2025-04,12700,0.0,53.55,5796.18,100.22,705.56,805.78,17690.4
PAY-000156,EMP-0015,2025-05,12700,0.0,53.55,5796.18,100.22,705.56,805.78,17690.4
PAY-000157,EMP-0015,2025-06,12700,0.0,53.55,5796.18,100.22,705.56,805.78,17690.4
PAY-000158,EMP-0015,2025-07,12700,0.0,53.55,5796.18,100.22,705.56,805.78,17690.4
PAY-000159,EMP-0015,2025-08,12700,0.0,53.55,5796.18,100.22,705.56,805.78,17690.4
PAY-000160,EMP-0015,2025-09,12700,0.0,53.55,5796.18,100.22,705.56,805.78,17690.4
PAY-000161,EMP-0015,2025-10,12700,0.0,53.55,5796.18,100.22,705.56,805.78,17690.4
PAY-000162,EMP-0015,2025-11,12700,0.0,53.55,5796.18,100.22,705.56,805.78,17690.4
PAY-000163,EMP-0015,2025-12,12700,0.0,53.55,5796.18,100.22,705.56,805.78,17690.4
PAY-000164,EMP-0015,2026-01,12700,0.0,53.55,5796.18,100.22,705.56,805.78,17690.4
PAY-000165,EMP-0016,2025-06,9800,0.0,65.83,5498.3,64.96,74.24,139.2,15159.1
PAY-000166,EMP-0016,2025-07,9800,0.0,65.83,5498.3,64.96,74.24,139.2,15159.1
PAY-000167,EMP-0016,2025-08,9800,0.0,65.83,5498.3,64.96,74.24,139.2,15159.1
PAY-000168,EMP-0016,2025-09,9800,0.0,65.83,5498.3,64.96,74.24,139.2,15159.1
PAY-000169,EMP-0016,2025-10,9800,0.0,65.83,5498.3,64.96,74.24,139.2,15159.1
PAY-000170,EMP-0016,2025-11,9800,0.0,65.83,5498.3,64.96,74.24,139.2,15159.1
PAY-000171,EMP-0016,2025-12,9800,0.0,65.83,5498.3,64.96,74.24,139.2,15159.1
PAY-000172,EMP-0016,2026-01,9800,0.0,65.83,5498.3,64.96,74.24,139.2,15159.1
PAY-000173,EMP-0017,2024-03,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000174,EMP-0017,2024-04,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000175,EMP-0017,2024-05,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000176,EMP-0017,2024-06,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000177,EMP-0017,2024-07,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000178,EMP-0017,2024-08,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000179,EMP-0017,2024-09,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000180,EMP-0017,2024-10,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000181,EMP-0017,2024-11,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000182,EMP-0017,2024-12,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000183,EMP-0017,2025-01,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000184,EMP-0017,2025-02,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000185,EMP-0017,2025-03,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000186,EMP-0017,2025-04,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000187,EMP-0017,2025-05,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000188,EMP-0017,2025-06,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000189,EMP-0017,2025-07,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000190,EMP-0017,2025-08,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000191,EMP-0017,2025-09,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000192,EMP-0017,2025-10,18700,0.0,56.2,8956.88,64.93,1936.11,2001.04,25655.84
PAY-000193,EMP-0018,2024-12,22500,0.0,53.13,10188.28,101.21,1193.18,1294.39,31393.89
PAY-000194,EMP-0018,2025-01,22500,0.0,53.13,10188.28,101.21,1193.18,1294.39,31393.89
PAY-000195,EMP-0018,2025-02,22500,0.0,53.13,10188.28,101.21,1193.18,1294.39,31393.89
PAY-000196,EMP-0018,2025-03,22500,0.0,53.13,10188.28,101.21,1193.18,1294.39,31393.89
PAY-000197,EMP-0018,2025-04,22500,0.0,53.13,10188.28,101.21,1193.18,1294.39,31393.89
PAY-000198,EMP-0018,2025-05,22500,0.0,53.13,10188.28,101.21,1193.18,1294.39,31393.89
PAY-000199,EMP-0018,2025-06,22500,0.0,53.13,10188.28,101.21,1193.18,1294.39,31393.89
PAY-000200,EMP-0018,2025-07,22500,0.0,53.13,10188.28,101.21,1193.18,1294.39,31393.89
PAY-000201,EMP-0018,2025-08,22500,0.0,53.13,10188.28,101.21,1193.18,1294.39,31393.89
PAY-000202,EMP-0018,2025-09,22500,0.0,53.13,10188.28,101.21,1193.18,1294.39,31393.89
PAY-000203,EMP-0018,2025-10,22500,0.0,53.13,10188.28,101.21,1193.18,1294.39,31393.89
PAY-000204,EMP-0018,2025-11,22500,0.0,53.13,10188.28,101.21,1193.18,1294.39,31393.89
PAY-000205,EMP-0018,2025-12,22500,0.0,53.13,10188.28,101.21,1193.18,1294.39,31393.89
PAY-000206,EMP-0018,2026-01,22500,0.0,53.13,10188.28,101.21,1193.18,1294.39,31393.89
PAY-000207,EMP-0019,2024-02,10900,0.0,45.74,4249.14,77.41,578.03,655.44,14493.7
PAY-000208,EMP-0019,2024-03,10900,0.0,45.74,4249.14,77.41,578.03,655.44,14493.7
PAY-000209,EMP-0019,2024-04,10900,0.0,45.74,4249.14,77.41,578.03,655.44,14493.7
PAY-000210,EMP-0019,2024-05,10900,0.0,45.74,4249.14,77.41,578.03,655.44,14493.7
PAY-000211,EMP-0019,2024-06,10900,0.0,45.74,4249.14,77.41,578.03,655.44,14493.7
PAY-000212,EMP-0019,2024-07,10900,0.0,45.74,4249.14,77.41,578.03,655.44,14493.7
PAY-000213,EMP-0019,2024-08,10900,0.0,45.74,4249.14,77.41,578.03,655.44,14493.7
PAY-000214,EMP-0020,2024-09,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000215,EMP-0020,2024-10,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000216,EMP-0020,2024-11,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000217,EMP-0020,2024-12,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000218,EMP-0020,2025-01,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000219,EMP-0020,2025-02,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000220,EMP-0020,2025-03,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000221,EMP-0020,2025-04,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000222,EMP-0020,2025-05,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000223,EMP-0020,2025-06,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000224,EMP-0020,2025-07,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000225,EMP-0020,2025-08,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000226,EMP-0020,2025-09,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000227,EMP-0020,2025-10,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000228,EMP-0020,2025-11,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000229,EMP-0020,2025-12,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000230,EMP-0020,2026-01,7000,0.0,6.53,389.57,39.77,424.24,464.01,6925.56
PAY-000231,EMP-0021,2023-01,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000232,EMP-0021,2023-02,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000233,EMP-0021,2023-03,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000234,EMP-0021,2023-04,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000235,EMP-0021,2023-05,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000236,EMP-0021,2023-06,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000237,EMP-0021,2023-07,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000238,EMP-0021,2023-08,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000239,EMP-0021,2023-09,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000240,EMP-0021,2023-10,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000241,EMP-0021,2023-11,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000242,EMP-0021,2023-12,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000243,EMP-0021,2024-01,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000244,EMP-0021,2024-02,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000245,EMP-0021,2024-03,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000246,EMP-0021,2024-04,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000247,EMP-0021,2024-05,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000248,EMP-0021,2024-06,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000249,EMP-0021,2024-07,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000250,EMP-0021,2024-08,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000251,EMP-0021,2024-09,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000252,EMP-0021,2024-10,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000253,EMP-0021,2024-11,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000254,EMP-0021,2024-12,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000255,EMP-0021,2025-01,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000256,EMP-0021,2025-02,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000257,EMP-0021,2025-03,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000258,EMP-0021,2025-04,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000259,EMP-0021,2025-05,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000260,EMP-0021,2025-06,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000261,EMP-0021,2025-07,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000262,EMP-0021,2025-08,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000263,EMP-0021,2025-09,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000264,EMP-0021,2025-10,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
PAY-000265,EMP-0021,2025-11,18900,0.0,6.85,1103.39,29.83,214.77,244.6,19758.79
