employee_id,current_role_id,target_role_id,weighted_skill_gap,skill_match_pct,chain_readiness,role_similarity,tenure_years,total_working_years,latest_eval_score,courses_completed,role_fit_score,suitability_label
EMP-0005,22,2,2.7,0.0,44.4,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,3,1.65,14.3,0.0,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,4,1.65,10.0,71.4,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,5,3.33,0.0,60.0,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,6,1.95,0.0,100.0,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,7,1.35,33.3,0.0,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,8,2.35,0.0,0.0,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,9,3.14,0.0,10.0,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,10,2.65,0.0,16.7,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,11,2.0,0.0,0.0,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,12,3.35,0.0,14.3,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,13,2.25,0.0,0.0,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,14,3.4,0.0,16.7,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,15,2.35,0.0,50.0,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,16,2.45,0.0,20.0,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,17,2.3,0.0,0.0,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,18,3.55,0.0,14.3,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,19,2.84,0.0,11.1,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,20,1.25,25.0,100.0,0.5,0.9,14,39.5,1,46.7,0
EMP-0005,22,21,2.9,0.0,50.0,0.5,0.9,14,39.5,1,46.7,0
EMP-0009,17,1,1.65,16.7,0.0,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,2,3.15,0.0,44.4,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,3,1.75,0.0,0.0,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,4,2.1,0.0,0.0,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,5,3.41,0.0,40.0,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,6,2.55,0.0,0.0,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,7,1.55,16.7,0.0,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,8,2.35,0.0,0.0,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,9,3.09,0.0,30.0,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,10,2.5,0.0,33.3,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,11,1.6,20.0,0.0,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,12,3.15,0.0,85.7,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,13,2.25,0.0,0.0,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,14,3.2,0.0,83.3,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,15,2.65,0.0,0.0,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,16,1.85,0.0,60.0,1.0,0.94,1,37.5,0,43.3,0
EMP-0009,17,18,3.2,0.0,85.7,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,19,2.57,0.0,66.7,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,20,2.0,0.0,50.0,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,21,3.35,0.0,75.0,0.5,0.94,1,37.5,0,43.3,0
EMP-0009,17,22,2.2,0.0,0.0,0.5,0.94,1,37.5,0,43.3,0
EMP-0011,16,1,0.8,33.3,100.0,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,2,2.45,11.1,88.9,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,3,1.3,14.3,50.0,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,4,1.5,0.0,42.9,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,5,3.11,0.0,70.0,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,6,2.55,0.0,0.0,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,7,0.85,33.3,100.0,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,8,1.55,0.0,100.0,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,9,2.39,0.0,80.0,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,10,1.95,0.0,100.0,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,11,1.7,20.0,0.0,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,12,3.05,0.0,71.4,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,13,2.15,0.0,66.7,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,14,3.2,0.0,83.3,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,15,2.5,0.0,50.0,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,17,1.5,0.0,100.0,1.0,0.62,20,49.3,0,46.5,0
EMP-0011,16,18,3.35,0.0,71.4,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,19,2.62,0.0,77.8,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,20,2.0,0.0,50.0,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,21,3.15,0.0,75.0,0.5,0.62,20,49.3,0,46.5,0
EMP-0011,16,22,2.2,0.0,0.0,0.5,0.62,20,49.3,0,46.5,0
EMP-0012,22,1,1.65,16.7,0.0,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,2,3.15,0.0,44.4,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,3,1.75,0.0,0.0,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,4,2.1,0.0,0.0,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,5,3.41,0.0,40.0,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,6,2.55,0.0,0.0,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,7,1.45,16.7,0.0,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,8,2.35,0.0,0.0,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,9,3.04,0.0,30.0,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,10,2.55,0.0,33.3,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,11,1.85,0.0,0.0,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,12,3.15,0.0,71.4,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,13,2.25,0.0,0.0,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,14,3.2,0.0,50.0,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,15,2.5,0.0,0.0,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,16,2.37,0.0,20.0,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,17,2.3,0.0,0.0,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,18,3.0,0.0,85.7,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,19,2.57,0.0,55.6,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,20,1.45,0.0,100.0,0.5,0.63,8,51.0,1,46.7,0
EMP-0012,22,21,2.85,0.0,100.0,0.5,0.63,8,51.0,1,46.7,0
EMP-0013,15,1,0.85,50.0,100.0,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,2,2.55,11.1,55.6,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,3,1.1,14.3,50.0,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,4,1.5,10.0,42.9,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,5,3.4,0.0,40.0,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,6,2.55,0.0,0.0,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,7,0.75,33.3,100.0,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,8,1.5,14.3,80.0,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,9,2.54,0.0,60.0,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,10,2.1,0.0,66.7,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,11,1.8,0.0,0.0,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,12,3.2,0.0,14.3,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,13,2.05,0.0,66.7,1.0,2.03,13,56.6,4,60.0,0
EMP-0013,15,14,3.25,0.0,16.7,1.0,2.03,13,56.6,4,60.0,0
EMP-0013,15,16,2.18,0.0,60.0,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,17,2.2,20.0,0.0,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,18,3.5,0.0,14.3,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,19,2.59,0.0,33.3,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,20,1.75,0.0,50.0,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,21,3.25,0.0,25.0,0.5,2.03,13,56.6,4,60.0,0
EMP-0013,15,22,1.7,0.0,0.0,0.5,2.03,13,56.6,4,60.0,0
EMP-0014,20,1,1.65,16.7,0.0,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,2,3.2,0.0,11.1,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,3,1.75,0.0,0.0,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,4,2.1,0.0,0.0,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,5,3.64,0.0,10.0,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,6,2.55,0.0,0.0,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,7,1.55,16.7,0.0,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,8,2.35,0.0,0.0,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,9,3.14,0.0,10.0,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,10,2.5,0.0,16.7,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,11,2.0,0.0,0.0,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,12,3.35,0.0,28.6,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,13,2.25,0.0,0.0,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,14,3.4,0.0,33.3,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,15,2.65,0.0,0.0,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,16,2.3,0.0,20.0,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,17,2.15,0.0,0.0,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,18,3.55,0.0,28.6,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,19,2.84,0.0,22.2,0.5,0.67,1,48.2,1,73.3,0
EMP-0014,20,21,2.45,0.0,50.0,1.0,0.67,1,48.2,1,73.3,0
EMP-0014,20,22,2.05,25.0,100.0,0.5,0.67,1,48.2,1,73.3,0
EMP-0015,20,1,1.65,16.7,0.0,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,2,3.2,0.0,22.2,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,3,1.55,0.0,50.0,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,4,2.1,0.0,0.0,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,5,3.64,0.0,10.0,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,6,2.55,0.0,0.0,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,7,1.4,33.3,0.0,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,8,1.75,0.0,80.0,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,9,2.74,0.0,50.0,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,10,2.45,0.0,66.7,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,11,2.0,0.0,0.0,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,12,3.35,0.0,14.3,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,13,1.9,0.0,100.0,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,14,3.2,0.0,33.3,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,15,2.45,0.0,50.0,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,16,2.3,0.0,60.0,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,17,2.3,0.0,0.0,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,18,3.55,0.0,14.3,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,19,2.74,0.0,33.3,0.5,0.78,11,50.9,0,55.8,0
EMP-0015,20,21,2.7,0.0,50.0,1.0,0.78,11,50.9,0,55.8,0
EMP-0015,20,22,2.05,25.0,100.0,0.5,0.78,11,50.9,0,55.8,0
EMP-0016,20,1,1.65,16.7,0.0,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,2,3.2,0.0,11.1,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,3,1.35,0.0,50.0,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,4,1.95,0.0,0.0,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,5,3.6,0.0,10.0,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,6,2.55,0.0,0.0,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,7,1.4,33.3,0.0,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,8,1.95,14.3,20.0,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,9,2.92,0.0,20.0,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,10,2.3,0.0,16.7,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,11,1.8,0.0,0.0,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,12,3.2,0.0,14.3,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,13,2.15,0.0,0.0,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,14,3.25,0.0,16.7,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,15,2.45,0.0,0.0,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,16,2.33,0.0,20.0,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,17,2.2,20.0,0.0,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,18,3.5,0.0,14.3,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,19,2.69,0.0,11.1,0.5,0.55,5,55.4,0,71.7,0
EMP-0016,20,21,2.4,0.0,50.0,1.0,0.55,5,55.4,0,71.7,0
EMP-0016,20,22,1.75,25.0,100.0,0.5,0.55,5,55.4,0,71.7,0
EMP-0018,4,1,0.45,66.7,100.0,1.0,1.03,6,56.6,1,57.5,1
EMP-0018,4,2,2.2,0.0,88.9,1.0,1.03,6,56.6,1,57.5,0
EMP-0018,4,3,1.05,28.6,100.0,1.0,1.03,6,56.6,1,57.5,0
EMP-0018,4,5,2.73,0.0,100.0,1.0,1.03,6,56.6,1,57.5,0
EMP-0018,4,6,2.0,0.0,75.0,1.0,1.03,6,56.6,1,57.5,0
EMP-0018,4,7,0.75,50.0,100.0,1.0,1.03,6,56.6,1,57.5,0
EMP-0018,4,8,1.85,0.0,40.0,0.5,1.03,6,56.6,1,57.5,0
EMP-0018,4,9,2.69,0.0,60.0,0.5,1.03,6,56.6,1,57.5,0
EMP-0018,4,10,2.5,0.0,50.0,0.5,1.03,6,56.6,1,57.5,0
EMP-0018,4,11,1.85,0.0,0.0,0.5,1.03,6,56.6,1,57.5,0
EMP-0018,4,12,3.1,0.0,71.4,0.5,1.03,6,56.6,1,57.5,0
EMP-0018,4,13,2.25,0.0,33.3,0.5,1.03,6,56.6,1,57.5,0
EMP-0018,4,14,3.2,0.0,50.0,0.5,1.03,6,56.6,1,57.5,0
EMP-0018,4,15,2.5,0.0,50.0,0.5,1.03,6,56.6,1,57.5,0
EMP-0018,4,16,2.33,0.0,40.0,0.5,1.03,6,56.6,1,57.5,0
EMP-0018,4,17,2.3,0.0,0.0,0.5,1.03,6,56.6,1,57.5,0
EMP-0018,4,18,3.1,0.0,71.4,0.5,1.03,6,56.6,1,57.5,0
EMP-0018,4,19,2.57,0.0,66.7,0.5,1.03,6,56.6,1,57.5,0
EMP-0018,4,20,2.0,0.0,50.0,0.5,1.03,6,56.6,1,57.5,0
EMP-0018,4,21,3.35,0.0,75.0,0.5,1.03,6,56.6,1,57.5,0
EMP-0018,4,22,2.2,0.0,0.0,0.5,1.03,6,56.6,1,57.5,0
EMP-0020,20,1,1.45,16.7,33.3,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,2,3.05,0.0,33.3,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,3,1.55,0.0,50.0,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,4,2.0,0.0,14.3,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,5,3.6,0.0,20.0,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,6,2.55,0.0,0.0,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,7,1.4,33.3,0.0,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,8,2.15,14.3,20.0,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,9,2.96,0.0,20.0,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,10,2.45,0.0,16.7,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,11,1.8,0.0,0.0,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,12,3.2,0.0,14.3,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,13,1.7,0.0,33.3,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,14,2.95,0.0,33.3,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,15,1.8,0.0,100.0,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,16,2.45,0.0,20.0,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,17,2.2,20.0,0.0,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,18,3.5,0.0,14.3,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,19,2.69,0.0,11.1,0.5,1.31,6,47.5,0,64.2,0
EMP-0020,20,21,2.5,0.0,50.0,1.0,1.31,6,47.5,0,64.2,0
EMP-0020,20,22,1.75,25.0,100.0,0.5,1.31,6,47.5,0,64.2,0
EMP-0021,3,1,1.1,33.3,66.7,1.0,3.0,20,60.0,2,100.0,0
EMP-0021,3,2,2.75,0.0,66.7,1.0,3.0,20,60.0,2,100.0,0
EMP-0021,3,4,0.85,50.0,85.7,1.0,3.0,20,60.0,2,100.0,0
EMP-0021,3,5,2.77,0.0,90.0,1.0,3.0,20,60.0,2,100.0,0
EMP-0021,3,6,2.1,0.0,50.0,1.0,3.0,20,60.0,2,100.0,0
EMP-0021,3,7,0.7,66.7,100.0,1.0,3.0,20,60.0,2,100.0,1
EMP-0021,3,8,1.4,42.9,20.0,0.5,3.0,20,60.0,2,100.0,0
EMP-0021,3,9,2.53,0.0,40.0,0.5,3.0,20,60.0,2,100.0,0
EMP-0021,3,10,2.15,14.3,33.3,0.5,3.0,20,60.0,2,100.0,0
EMP-0021,3,11,1.65,0.0,0.0,0.5,3.0,20,60.0,2,100.0,0
EMP-0021,3,12,3.0,0.0,71.4,0.5,3.0,20,60.0,2,100.0,0
EMP-0021,3,13,2.15,0.0,0.0,0.5,3.0,20,60.0,2,100.0,0
EMP-0021,3,14,3.05,0.0,50.0,0.5,3.0,20,60.0,2,100.0,0
EMP-0021,3,15,2.3,0.0,50.0,0.5,3.0,20,60.0,2,100.0,0
EMP-0021,3,16,2.21,14.3,20.0,0.5,3.0,20,60.0,2,100.0,0
EMP-0021,3,17,2.2,20.0,0.0,0.5,3.0,20,60.0,2,100.0,0
EMP-0021,3,18,3.15,0.0,71.4,0.5,3.0,20,60.0,2,100.0,0
EMP-0021,3,19,2.22,0.0,66.7,0.5,3.0,20,60.0,2,100.0,0
EMP-0021,3,20,1.75,0.0,50.0,0.5,3.0,20,60.0,2,100.0,0
EMP-0021,3,21,3.15,0.0,75.0,0.5,3.0,20,60.0,2,100.0,0
EMP-0021,3,22,1.55,0.0,0.0,0.5,3.0,20,60.0,2,100.0,0
EMP-0022,10,1,1.55,33.3,0.0,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,2,3.1,0.0,44.4,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,3,1.25,14.3,50.0,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,4,1.85,10.0,28.6,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,5,3.38,0.0,60.0,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,6,1.95,0.0,100.0,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,7,1.3,50.0,0.0,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,8,1.25,14.3,100.0,1.0,0.8,17,45.2,0,47.5,0
EMP-0022,10,9,2.32,0.0,80.0,1.0,0.8,17,45.2,0,47.5,0
EMP-0022,10,11,1.85,0.0,0.0,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,12,3.15,0.0,71.4,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,13,2.15,0.0,66.7,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,14,3.2,0.0,66.7,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,15,2.65,0.0,0.0,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,16,1.8,0.0,60.0,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,17,2.0,20.0,0.0,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,18,3.35,0.0,71.4,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,19,2.52,0.0,77.8,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,20,2.0,0.0,50.0,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,21,3.25,0.0,75.0,0.5,0.8,17,45.2,0,47.5,0
EMP-0022,10,22,2.2,0.0,0.0,0.5,0.8,17,45.2,0,47.5,0
EMP-0023,4,1,0.3,66.7,100.0,1.0,2.33,14,54.9,2,77.5,1
EMP-0023,4,2,1.85,22.2,66.7,1.0,2.33,14,54.9,2,77.5,0
EMP-0023,4,3,1.15,28.6,50.0,1.0,2.33,14,54.9,2,77.5,0
EMP-0023,4,5,2.67,0.0,70.0,1.0,2.33,14,54.9,2,77.5,0
EMP-0023,4,6,1.65,12.5,75.0,1.0,2.33,14,54.9,2,77.5,0
EMP-0023,4,7,1.55,16.7,0.0,1.0,2.33,14,54.9,2,77.5,0
EMP-0023,4,8,2.2,0.0,0.0,0.5,2.33,14,54.9,2,77.5,0
EMP-0023,4,9,3.02,0.0,10.0,0.5,2.33,14,54.9,2,77.5,0
EMP-0023,4,10,2.7,0.0,0.0,0.5,2.33,14,54.9,2,77.5,0
EMP-0023,4,11,1.1,40.0,100.0,0.5,2.33,14,54.9,2,77.5,0
EMP-0023,4,12,3.0,0.0,28.6,0.5,2.33,14,54.9,2,77.5,0
EMP-0023,4,13,2.35,0.0,0.0,0.5,2.33,14,54.9,2,77.5,0
EMP-0023,4,14,3.55,0.0,16.7,0.5,2.33,14,54.9,2,77.5,0
